558	5.57000	522.894	309.786	1403.465	516.006	453.289	1341.123	560.867	297.871	960.333	480.298	298.308	960.943	600.371	484.457	892.642	449.979	480.853	893.061	707.278	397.441	1372.012	364.540	361.806	1402.309	111.680	413.127	1291.255	129.435	373.940	1331.051	-117.233	473.940	1371.290	-130.522	419.221	1380.886	746.007	365.031	1086.746	802.476	475.923	858.899	832.221	427.215	858.442	774.241	420.477	972.822	817.349	451.569	858.67	120.558	393.534	1311.153	-123.877	446.581	1376.088	525.175	482.655	892.851	520.582	298.089	960.638
559	5.58000	522.895	309.745	1403.455	516.065	453.242	1341.118	560.893	297.839	960.312	480.304	298.292	960.926	600.362	484.426	892.660	449.980	480.829	893.084	707.274	397.383	1372.021	364.544	361.766	1402.321	111.685	413.079	1291.241	129.448	373.900	1331.075	-117.228	473.929	1371.245	-130.504	419.201	1380.825	746.033	364.984	1086.757	802.453	475.818	858.872	832.262	427.108	858.389	774.243	420.401	972.814	817.357	451.463	858.63	120.567	393.49	1311.158	-123.866	446.565	1376.035	525.171	482.627	892.872	520.599	298.065	960.619
560	5.59000	522.899	309.680	1403.461	516.074	453.188	1341.105	560.888	297.800	960.313	480.290	298.251	960.936	600.394	484.376	892.651	449.928	480.774	893.090	707.310	397.336	1371.988	364.570	361.735	1402.342	111.708	413.058	1291.195	129.459	373.869	1331.048	-117.159	473.920	1371.136	-130.491	419.184	1380.768	746.031	364.882	1086.742	802.539	475.734	858.861	832.268	427.023	858.361	774.285	420.308	972.802	817.404	451.379	858.611	120.584	393.464	1311.121	-123.825	446.552	1375.952	525.161	482.575	892.87	520.589	298.025	960.625
561	5.60000	522.917	309.629	1403.455	516.366	453.132	1341.252	560.884	297.742	960.316	480.284	298.213	960.934	600.337	484.354	892.648	449.964	480.764	893.079	707.290	397.272	1372.002	364.574	361.693	1402.338	111.736	413.037	1291.178	129.476	373.821	1330.999	-117.207	473.838	1371.019	-130.513	419.158	1380.703	746.033	364.822	1086.738	802.559	475.628	858.823	832.302	426.910	858.365	774.296	420.225	972.781	817.43	451.269	858.594	120.606	393.429	1311.089	-123.86	446.498	1375.861	525.15	482.559	892.863	520.584	297.978	960.625
562	5.61000	522.913	309.574	1403.474	516.155	453.065	1341.121	560.894	297.700	960.332	480.283	298.174	960.937	600.373	484.319	892.680	449.955	480.734	893.106	707.328	397.201	1371.976	364.578	361.653	1402.351	111.787	413.007	1291.089	129.485	373.801	1330.956	-117.149	473.841	1371.032	-130.509	419.140	1380.607	746.034	364.768	1086.713	802.566	475.541	858.755	832.285	426.805	858.346	774.3	420.154	972.734	817.426	451.173	858.551	120.636	393.404	1311.023	-123.829	446.49	1375.82	525.164	482.526	892.893	520.589	297.937	960.635
563	5.62000	522.928	309.503	1403.469	516.199	453.028	1341.143	560.846	297.672	960.329	480.270	298.130	960.938	600.374	484.277	892.677	449.924	480.697	893.095	707.335	397.141	1371.956	364.590	361.611	1402.338	111.770	412.958	1291.032	129.509	373.770	1330.929	-117.130	473.816	1370.944	-130.496	419.111	1380.481	745.994	364.658	1086.712	802.547	475.443	858.712	832.286	426.684	858.336	774.271	420.05	972.712	817.417	451.063	858.524	120.639	393.364	1310.981	-123.813	446.463	1375.713	525.149	482.487	892.886	520.558	297.901	960.633
564	5.63000	522.893	309.439	1403.470	516.144	452.944	1341.142	560.849	297.634	960.328	480.272	298.097	960.933	600.292	484.244	892.648	449.961	480.670	893.098	707.323	397.041	1371.942	364.576	361.540	1402.364	111.813	412.912	1290.946	129.475	373.707	1330.905	-117.233	473.787	1370.822	-130.508	419.054	1380.429	745.981	364.561	1086.725	802.586	475.327	858.727	832.300	426.572	858.336	774.284	419.944	972.726	817.443	450.95	858.532	120.644	393.309	1310.925	-123.871	446.42	1375.626	525.127	482.457	892.873	520.561	297.865	960.63
565	5.64000	522.898	309.389	1403.456	516.153	452.899	1341.175	560.834	297.605	960.348	480.247	298.054	960.931	600.288	484.224	892.688	449.870	480.631	893.141	707.332	396.958	1371.917	364.566	361.468	1402.368	111.774	412.814	1290.917	129.498	373.679	1330.840	-117.236	473.793	1370.736	-130.535	419.052	1380.315	745.966	364.461	1086.709	802.615	475.214	858.732	832.269	426.440	858.304	774.291	419.837	972.721	817.442	450.827	858.518	120.636	393.246	1310.878	-123.886	446.423	1375.526	525.079	482.428	892.914	520.54	297.829	960.639
566	5.65000	522.912	309.311	1403.454	516.107	452.830	1341.155	560.842	297.571	960.329	480.252	298.029	960.928	600.284	484.169	892.687	449.888	480.591	893.103	707.323	396.871	1371.929	364.565	361.418	1402.349	111.802	412.789	1290.848	129.484	373.627	1330.821	-117.239	473.746	1370.662	-130.542	419.029	1380.243	745.946	364.379	1086.679	802.519	475.093	858.682	832.256	426.321	858.296	774.233	419.736	972.681	817.388	450.707	858.489	120.643	393.208	1310.834	-123.891	446.387	1375.452	525.086	482.38	892.895	520.547	297.8	960.629
567	5.66000	522.901	309.239	1403.449	516.098	452.767	1341.161	560.825	297.531	960.320	480.249	297.973	960.913	600.209	484.107	892.653	449.901	480.549	893.128	707.303	396.818	1371.913	364.538	361.362	1402.350	111.773	412.696	1290.790	129.480	373.562	1330.780	-117.226	473.741	1370.585	-130.520	419.021	1380.107	745.908	364.280	1086.676	802.514	474.968	858.644	832.227	426.223	858.276	774.211	419.624	972.66	817.37	450.596	858.46	120.626	393.129	1310.785	-123.873	446.381	1375.346	525.055	482.328	892.89	520.537	297.752	960.617
